Country,Month,Year,Events,Fatalities
Cocos (Keeling) Islands,January,2021,0,0
Cocos (Keeling) Islands,February,2021,0,0
Cocos (Keeling) Islands,March,2021,0,0
Cocos (Keeling) Islands,April,2021,0,0
Cocos (Keeling) Islands,May,2021,0,0
Cocos (Keeling) Islands,June,2021,0,0
Cocos (Keeling) Islands,July,2021,0,0
Cocos (Keeling) Islands,August,2021,0,0
Cocos (Keeling) Islands,September,2021,0,0
Cocos (Keeling) Islands,October,2021,0,0
Cocos (Keeling) Islands,November,2021,0,0
Cocos (Keeling) Islands,December,2021,0,0
Cocos (Keeling) Islands,January,2022,0,0
Cocos (Keeling) Islands,February,2022,0,0
Cocos (Keeling) Islands,March,2022,0,0
Cocos (Keeling) Islands,April,2022,0,0
Cocos (Keeling) Islands,May,2022,0,0
Cocos (Keeling) Islands,June,2022,0,0
Cocos (Keeling) Islands,July,2022,0,0
Cocos (Keeling) Islands,August,2022,0,0
Cocos (Keeling) Islands,September,2022,0,0
Cocos (Keeling) Islands,October,2022,0,0
Cocos (Keeling) Islands,November,2022,0,0
Cocos (Keeling) Islands,December,2022,0,0
Cocos (Keeling) Islands,January,2023,0,0
Cocos (Keeling) Islands,February,2023,0,0
Cocos (Keeling) Islands,March,2023,0,0
Cocos (Keeling) Islands,April,2023,0,0
Cocos (Keeling) Islands,May,2023,0,0
Cocos (Keeling) Islands,June,2023,0,0
Cocos (Keeling) Islands,July,2023,0,0
Cocos (Keeling) Islands,August,2023,0,0
Cocos (Keeling) Islands,September,2023,0,0
Cocos (Keeling) Islands,October,2023,0,0
Cocos (Keeling) Islands,November,2023,0,0
Cocos (Keeling) Islands,December,2023,0,0
Cocos (Keeling) Islands,January,2024,0,0
Cocos (Keeling) Islands,February,2024,0,0
Cocos (Keeling) Islands,March,2024,0,0
Cocos (Keeling) Islands,April,2024,0,0
Cocos (Keeling) Islands,May,2024,0,0
Cocos (Keeling) Islands,June,2024,0,0
Cocos (Keeling) Islands,July,2024,0,0
Cocos (Keeling) Islands,August,2024,0,0
Cocos (Keeling) Islands,September,2024,0,0
Cocos (Keeling) Islands,October,2024,0,0
Cocos (Keeling) Islands,November,2024,0,0
Cocos (Keeling) Islands,December,2024,0,0
Cocos (Keeling) Islands,January,2025,0,0
Cocos (Keeling) Islands,February,2025,0,0
Cocos (Keeling) Islands,March,2025,0,0
Cocos (Keeling) Islands,April,2025,0,0
Cocos (Keeling) Islands,May,2025,0,0
Cocos (Keeling) Islands,June,2025,0,0
Cocos (Keeling) Islands,July,2025,0,0
Cocos (Keeling) Islands,August,2025,0,0
Cocos (Keeling) Islands,September,2025,0,0
Cocos (Keeling) Islands,October,2025,0,0
Cocos (Keeling) Islands,November,2025,0,0
Cocos (Keeling) Islands,December,2025,0,0
Cocos (Keeling) Islands,January,2026,0,0
Cocos (Keeling) Islands,February,2026,0,0
Cocos (Keeling) Islands,March,2026,0,0
Cocos (Keeling) Islands,April,2026,0,0
