Country,Month,Year,Events,Fatalities
Tajikistan,January,2018,3,2
Tajikistan,February,2018,0,0
Tajikistan,March,2018,2,1
Tajikistan,April,2018,0,0
Tajikistan,May,2018,0,0
Tajikistan,June,2018,0,0
Tajikistan,July,2018,4,4
Tajikistan,August,2018,1,2
Tajikistan,September,2018,0,0
Tajikistan,October,2018,1,2
Tajikistan,November,2018,0,0
Tajikistan,December,2018,1,0
Tajikistan,January,2019,1,0
Tajikistan,February,2019,0,0
Tajikistan,March,2019,4,1
Tajikistan,April,2019,2,0
Tajikistan,May,2019,0,0
Tajikistan,June,2019,1,0
Tajikistan,July,2019,2,14
Tajikistan,August,2019,3,0
Tajikistan,September,2019,2,0
Tajikistan,October,2019,1,0
Tajikistan,November,2019,0,0
Tajikistan,December,2019,1,0
Tajikistan,January,2020,0,0
Tajikistan,February,2020,0,0
Tajikistan,March,2020,0,0
Tajikistan,April,2020,0,0
Tajikistan,May,2020,3,0
Tajikistan,June,2020,0,0
Tajikistan,July,2020,0,0
Tajikistan,August,2020,1,1
Tajikistan,September,2020,1,0
Tajikistan,October,2020,1,0
Tajikistan,November,2020,0,0
Tajikistan,December,2020,0,0
Tajikistan,January,2021,0,0
Tajikistan,February,2021,0,0
Tajikistan,March,2021,1,0
Tajikistan,April,2021,1,0
Tajikistan,May,2021,2,0
Tajikistan,June,2021,0,0
Tajikistan,July,2021,0,0
Tajikistan,August,2021,0,0
Tajikistan,September,2021,1,0
Tajikistan,October,2021,0,0
Tajikistan,November,2021,0,0
Tajikistan,December,2021,1,0
Tajikistan,January,2022,0,0
Tajikistan,February,2022,0,0
Tajikistan,March,2022,0,0
Tajikistan,April,2022,0,0
Tajikistan,May,2022,4,24
Tajikistan,June,2022,1,0
Tajikistan,July,2022,0,0
Tajikistan,August,2022,0,0
Tajikistan,September,2022,5,31
Tajikistan,October,2022,0,0
Tajikistan,November,2022,0,0
Tajikistan,December,2022,2,0
Tajikistan,January,2023,1,1
Tajikistan,February,2023,0,0
Tajikistan,March,2023,0,0
Tajikistan,April,2023,0,0
Tajikistan,May,2023,0,0
Tajikistan,June,2023,0,0
Tajikistan,July,2023,0,0
Tajikistan,August,2023,1,0
Tajikistan,September,2023,0,0
Tajikistan,October,2023,0,0
Tajikistan,November,2023,1,0
Tajikistan,December,2023,0,0
Tajikistan,January,2024,0,0
Tajikistan,February,2024,0,0
Tajikistan,March,2024,0,0
Tajikistan,April,2024,0,0
Tajikistan,May,2024,0,0
Tajikistan,June,2024,0,0
Tajikistan,July,2024,0,0
Tajikistan,August,2024,0,0
Tajikistan,September,2024,0,0
Tajikistan,October,2024,0,0
Tajikistan,November,2024,0,0
Tajikistan,December,2024,0,0
Tajikistan,January,2025,0,0
Tajikistan,February,2025,0,0
Tajikistan,March,2025,0,0
Tajikistan,April,2025,0,0
Tajikistan,May,2025,0,0
Tajikistan,June,2025,0,0
Tajikistan,July,2025,0,0
Tajikistan,August,2025,0,0
Tajikistan,September,2025,0,0
Tajikistan,October,2025,1,1
Tajikistan,November,2025,2,5
Tajikistan,December,2025,0,0
Tajikistan,January,2026,1,1
Tajikistan,February,2026,0,0
Tajikistan,March,2026,1,1
Tajikistan,April,2026,1,1
