Country,Month,Year,Events,Fatalities
Benin,January,1997,0,0
Benin,February,1997,0,0
Benin,March,1997,0,0
Benin,April,1997,0,0
Benin,May,1997,0,0
Benin,June,1997,0,0
Benin,July,1997,0,0
Benin,August,1997,0,0
Benin,September,1997,0,0
Benin,October,1997,0,0
Benin,November,1997,0,0
Benin,December,1997,0,0
Benin,January,1998,0,0
Benin,February,1998,0,0
Benin,March,1998,0,0
Benin,April,1998,0,0
Benin,May,1998,0,0
Benin,June,1998,0,0
Benin,July,1998,0,0
Benin,August,1998,1,1
Benin,September,1998,0,0
Benin,October,1998,0,0
Benin,November,1998,0,0
Benin,December,1998,0,0
Benin,January,1999,0,0
Benin,February,1999,0,0
Benin,March,1999,0,0
Benin,April,1999,0,0
Benin,May,1999,0,0
Benin,June,1999,1,0
Benin,July,1999,0,0
Benin,August,1999,0,0
Benin,September,1999,0,0
Benin,October,1999,0,0
Benin,November,1999,0,0
Benin,December,1999,0,0
Benin,January,2000,0,0
Benin,February,2000,0,0
Benin,March,2000,0,0
Benin,April,2000,0,0
Benin,May,2000,0,0
Benin,June,2000,0,0
Benin,July,2000,0,0
Benin,August,2000,0,0
Benin,September,2000,0,0
Benin,October,2000,0,0
Benin,November,2000,0,0
Benin,December,2000,0,0
Benin,January,2001,1,0
Benin,February,2001,0,0
Benin,March,2001,0,0
Benin,April,2001,0,0
Benin,May,2001,0,0
Benin,June,2001,0,0
Benin,July,2001,0,0
Benin,August,2001,2,4
Benin,September,2001,0,0
Benin,October,2001,0,0
Benin,November,2001,0,0
Benin,December,2001,0,0
Benin,January,2002,0,0
Benin,February,2002,0,0
Benin,March,2002,0,0
Benin,April,2002,0,0
Benin,May,2002,0,0
Benin,June,2002,0,0
Benin,July,2002,0,0
Benin,August,2002,0,0
Benin,September,2002,0,0
Benin,October,2002,0,0
Benin,November,2002,0,0
Benin,December,2002,0,0
Benin,January,2003,0,0
Benin,February,2003,0,0
Benin,March,2003,0,0
Benin,April,2003,1,0
Benin,May,2003,0,0
Benin,June,2003,0,0
Benin,July,2003,0,0
Benin,August,2003,0,0
Benin,September,2003,0,0
Benin,October,2003,0,0
Benin,November,2003,0,0
Benin,December,2003,0,0
Benin,January,2004,0,0
Benin,February,2004,0,0
Benin,March,2004,0,0
Benin,April,2004,0,0
Benin,May,2004,0,0
Benin,June,2004,0,0
Benin,July,2004,0,0
Benin,August,2004,0,0
Benin,September,2004,0,0
Benin,October,2004,0,0
Benin,November,2004,0,0
Benin,December,2004,0,0
Benin,January,2005,0,0
Benin,February,2005,0,0
Benin,March,2005,0,0
Benin,April,2005,0,0
Benin,May,2005,0,0
Benin,June,2005,0,0
Benin,July,2005,0,0
Benin,August,2005,0,0
Benin,September,2005,0,0
Benin,October,2005,0,0
Benin,November,2005,0,0
Benin,December,2005,0,0
Benin,January,2006,0,0
Benin,February,2006,0,0
Benin,March,2006,0,0
Benin,April,2006,0,0
Benin,May,2006,0,0
Benin,June,2006,0,0
Benin,July,2006,0,0
Benin,August,2006,0,0
Benin,September,2006,0,0
Benin,October,2006,0,0
Benin,November,2006,0,0
Benin,December,2006,0,0
Benin,January,2007,0,0
Benin,February,2007,0,0
Benin,March,2007,0,0
Benin,April,2007,0,0
Benin,May,2007,2,2
Benin,June,2007,0,0
Benin,July,2007,0,0
Benin,August,2007,0,0
Benin,September,2007,0,0
Benin,October,2007,0,0
Benin,November,2007,0,0
Benin,December,2007,0,0
Benin,January,2008,0,0
Benin,February,2008,0,0
Benin,March,2008,0,0
Benin,April,2008,0,0
Benin,May,2008,0,0
Benin,June,2008,0,0
Benin,July,2008,0,0
Benin,August,2008,0,0
Benin,September,2008,0,0
Benin,October,2008,0,0
Benin,November,2008,0,0
Benin,December,2008,0,0
Benin,January,2009,0,0
Benin,February,2009,0,0
Benin,March,2009,0,0
Benin,April,2009,0,0
Benin,May,2009,0,0
Benin,June,2009,0,0
Benin,July,2009,0,0
Benin,August,2009,0,0
Benin,September,2009,0,0
Benin,October,2009,0,0
Benin,November,2009,1,1
Benin,December,2009,0,0
Benin,January,2010,0,0
Benin,February,2010,0,0
Benin,March,2010,0,0
Benin,April,2010,0,0
Benin,May,2010,0,0
Benin,June,2010,0,0
Benin,July,2010,0,0
Benin,August,2010,0,0
Benin,September,2010,0,0
Benin,October,2010,1,0
Benin,November,2010,0,0
Benin,December,2010,0,0
Benin,January,2011,0,0
Benin,February,2011,0,0
Benin,March,2011,0,0
Benin,April,2011,0,0
Benin,May,2011,0,0
Benin,June,2011,0,0
Benin,July,2011,1,0
Benin,August,2011,0,0
Benin,September,2011,1,0
Benin,October,2011,0,0
Benin,November,2011,0,0
Benin,December,2011,0,0
Benin,January,2012,0,0
Benin,February,2012,0,0
Benin,March,2012,0,0
Benin,April,2012,0,0
Benin,May,2012,1,0
Benin,June,2012,0,0
Benin,July,2012,0,0
Benin,August,2012,0,0
Benin,September,2012,0,0
Benin,October,2012,0,0
Benin,November,2012,0,0
Benin,December,2012,0,0
Benin,January,2013,0,0
Benin,February,2013,0,0
Benin,March,2013,0,0
Benin,April,2013,0,0
Benin,May,2013,0,0
Benin,June,2013,0,0
Benin,July,2013,0,0
Benin,August,2013,0,0
Benin,September,2013,0,0
Benin,October,2013,0,0
Benin,November,2013,0,0
Benin,December,2013,1,0
Benin,January,2014,0,0
Benin,February,2014,0,0
Benin,March,2014,0,0
Benin,April,2014,0,0
Benin,May,2014,0,0
Benin,June,2014,0,0
Benin,July,2014,0,0
Benin,August,2014,0,0
Benin,September,2014,0,0
Benin,October,2014,1,0
Benin,November,2014,0,0
Benin,December,2014,0,0
Benin,January,2015,0,0
Benin,February,2015,0,0
Benin,March,2015,0,0
Benin,April,2015,1,2
Benin,May,2015,0,0
Benin,June,2015,0,0
Benin,July,2015,0,0
Benin,August,2015,0,0
Benin,September,2015,0,0
Benin,October,2015,0,0
Benin,November,2015,0,0
Benin,December,2015,0,0
Benin,January,2016,0,0
Benin,February,2016,0,0
Benin,March,2016,1,1
Benin,April,2016,0,0
Benin,May,2016,0,0
Benin,June,2016,0,0
Benin,July,2016,1,0
Benin,August,2016,0,0
Benin,September,2016,0,0
Benin,October,2016,2,2
Benin,November,2016,1,0
Benin,December,2016,0,0
Benin,January,2017,0,0
Benin,February,2017,0,0
Benin,March,2017,0,0
Benin,April,2017,0,0
Benin,May,2017,2,6
Benin,June,2017,0,0
Benin,July,2017,0,0
Benin,August,2017,0,0
Benin,September,2017,0,0
Benin,October,2017,0,0
Benin,November,2017,0,0
Benin,December,2017,1,1
Benin,January,2018,1,0
Benin,February,2018,5,6
Benin,March,2018,1,0
Benin,April,2018,1,5
Benin,May,2018,0,0
Benin,June,2018,2,2
Benin,July,2018,3,8
Benin,August,2018,4,1
Benin,September,2018,0,0
Benin,October,2018,0,0
Benin,November,2018,0,0
Benin,December,2018,1,0
Benin,January,2019,1,0
Benin,February,2019,1,1
Benin,March,2019,0,0
Benin,April,2019,0,0
Benin,May,2019,1,1
Benin,June,2019,1,4
Benin,July,2019,0,0
Benin,August,2019,1,1
Benin,September,2019,1,0
Benin,October,2019,1,1
Benin,November,2019,2,1
Benin,December,2019,3,3
