Country,Month,Year,Events,Fatalities
Samoa,January,2021,1,0
Samoa,February,2021,0,0
Samoa,March,2021,0,0
Samoa,April,2021,0,0
Samoa,May,2021,0,0
Samoa,June,2021,0,0
Samoa,July,2021,0,0
Samoa,August,2021,1,0
Samoa,September,2021,1,0
Samoa,October,2021,0,0
Samoa,November,2021,0,0
Samoa,December,2021,0,0
Samoa,January,2022,0,0
Samoa,February,2022,0,0
Samoa,March,2022,0,0
Samoa,April,2022,0,0
Samoa,May,2022,0,0
Samoa,June,2022,0,0
Samoa,July,2022,0,0
Samoa,August,2022,0,0
Samoa,September,2022,0,0
Samoa,October,2022,0,0
Samoa,November,2022,0,0
Samoa,December,2022,0,0
Samoa,January,2023,0,0
Samoa,February,2023,0,0
Samoa,March,2023,0,0
Samoa,April,2023,0,0
Samoa,May,2023,0,0
Samoa,June,2023,0,0
Samoa,July,2023,0,0
Samoa,August,2023,0,0
Samoa,September,2023,1,0
Samoa,October,2023,0,0
Samoa,November,2023,0,0
Samoa,December,2023,0,0
Samoa,January,2024,0,0
Samoa,February,2024,0,0
Samoa,March,2024,0,0
Samoa,April,2024,0,0
Samoa,May,2024,0,0
Samoa,June,2024,0,0
Samoa,July,2024,0,0
Samoa,August,2024,0,0
Samoa,September,2024,0,0
Samoa,October,2024,0,0
Samoa,November,2024,0,0
Samoa,December,2024,0,0
Samoa,January,2025,0,0
Samoa,February,2025,0,0
Samoa,March,2025,0,0
Samoa,April,2025,0,0
Samoa,May,2025,0,0
Samoa,June,2025,0,0
Samoa,July,2025,0,0
Samoa,August,2025,0,0
Samoa,September,2025,0,0
Samoa,October,2025,0,0
Samoa,November,2025,0,0
Samoa,December,2025,0,0
Samoa,January,2026,0,0
Samoa,February,2026,0,0
Samoa,March,2026,0,0
Samoa,April,2026,0,0
